Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;8317487;8465606;8354137;8574589;8328085;8431885;8312575;8387652;8324718;8276448;8231624;8255412;8220345;8209750;8239658;8208508;8198856;8201616;8242858;8628343;9594318;8250770;8169633;8191668;8153648;8145375;8127464;8171272;8131304;8173912
КМП со стандартными гранями;7421508;7425058;7421583;7441731;7428604;7441083;7439545;7455799;7445623;7476304;7480360;7470233;7475416;7503991;7498825;7493156;7511193;7523160;7516618;7533314;7543387;7544850;7548924;7571860;7553150;7551016;7626197;7677002;7624547;7638876
КМП с уточненными гранями;6429881;5661533;5682070;5662564;5668093;5699168;5689733;5705874;5707233;5716500;5731297;5734791;5745275;5761814;5765137;5781454;5779083;5787731;5806881;5808122;5830866;5829633;5840431;5866504;5853043;5864322;5876208;5877191;5904493;5896775
Алгоритм Рабина-Карпа;2214150;2213506;2220160;2221402;2222268;2224995;2225627;2232004;2241733;2241310;2253570;2250487;2245199;2249135;2249662;2257187;2254110;2261787;2265574;2263856;2267852;2270023;2278197;2277616;2293412;2280145;2285768;2287666;2289533;2292627
