Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;866827;834660;910654;814735;815487;801885;929879;937643;938964;931697;929697;936391;928141;934466;942831;921266;919218;917760;918658;919527;917077;919627;919975;923489;930606;927608;926910;920108;918364;923075
КМП со стандартными гранями;1509410;1527337;1540785;1558879;1573902;1596706;1806862;1801689;1801797;1808810;1799724;1799441;1804206;1818589;1805195;1816685;1809910;1812458;1815710;1793014;1798235;1798933;1808010;1828343;1817614;1805291;1810795;1793087;1801993;1803852
КМП с уточненными гранями;1129077;1142837;1150548;1175872;1961147;1182904;1032579;1018047;1026343;1026933;1018998;1018056;1021141;1022376;1020485;1018812;1025185;1019312;1018862;1018549;1017852;1017823;1023143;1020270;1023147;1021814;1021118;1023016;1036393;1034279
Алгоритм Рабина-Карпа;494806;458210;459462;463220;472995;471647;942935;944777;939970;940870;937754;936624;938579;939895;940583;959479;940583;939749;938479;935749;933531;936700;940470;939345;939173;941408;945616;945939;1254162;1075729
