Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;12584347;13287616;19750227;13848841;9579889;8341402;8254833;8290714;8224779;8236003;8319643;8276929;8224010;8191702;8191756;8261043;8183581;8163768;8161652;8160383;8157233;8153206;8146272;8139300;8166249;8141989;8134856;8175104;8148406;8155835
КМП со стандартными гранями;7286939;7292110;7298822;7310050;7321347;7335879;7341473;7335766;7351681;7344950;7354070;7363822;7374641;7371320;7385966;7384947;7392227;7390381;7400764;7415979;7411825;7410010;7430410;7425508;7458089;7452497;7465833;7460108;7479239;7475739
КМП с уточненными гранями;5603822;5612408;5624543;5644531;5652175;5658979;5670454;5671104;5679075;5692522;5701362;5721022;5714524;5737862;5740583;5751206;5760166;5779858;5775614;5792073;5796612;5802600;5819349;5836075;5823179;5839185;5840424;5856493;5863472;5881585
Алгоритм Рабина-Карпа;2234104;2226785;2229689;2230400;2226868;2230487;2232345;2241250;2233585;2233406;2232760;2234493;2234502;2233356;2243748;2246026;2245939;2238233;2239291;2242122;2243864;2242689;2242218;2245885;2251802;2258760;2242993;2247783;2258466;2250012
