Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;4876018;4862829;4861606;4863195;4869452;4855066;4859300;4867491;4874029;4869062;4863852;4837104;4848025;4841808;4841583;4851018;4831458;4840274;4845429;4841091;4835129;4852210;4822554;4827220;4822477;4839125;4836956;4825999;4819985;4821468
КМП со стандартными гранями;5519243;5531398;5540285;5533237;5539212;5553318;5555056;5572758;5566012;5574704;5584549;5584999;5621135;5604024;5605616;5617004;5615177;5640031;5631801;5644143;5644804;5653670;5684106;5665227;5673379;5676979;5690783;6011697;5708941;5705189
КМП с уточненными гранями;3791439;3798419;3823735;3828958;3829747;3837489;3845235;3852633;3862733;3875952;3892860;3891958;3895597;3905331;3918064;3931993;3931735;3954356;3965141;3959062;3967506;3979766;3986635;4000987;4005920;4024472;4022258;4030320;4044006;4055756
Алгоритм Рабина-Карпа;3309058;3292572;3295598;3278806;3283099;3298785;3298831;3304064;3306129;3268002;3308304;3290548;3303527;3303100;3301247;3300679;3299952;3294470;3292245;3286358;3271016;3288423;3285718;3276693;3268189;3269327;3286718;3294083;3311549;3292454
