Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;487614;485627;482804;488347;483706;476656;475933;476083;473227;468350;465923;466116;462791;462112;459381;461891;458789;459093;459250;463250;460464;460122;460489;459833;460968;461266;460572;459527;461112;460083
КМП со стандартными гранями;551043;559893;563904;570952;578235;584485;598185;603770;605968;612762;618793;630864;635258;640908;647008;644400;643893;645735;646581;645364;644375;645200;644020;646787;646685;644029;644818;644339;647304;644604
КМП с уточненными гранями;378460;387956;396620;405216;415514;426004;433437;442756;451212;460343;469616;478216;486927;496881;503364;503095;503081;503181;503062;503956;505960;505287;504537;504595;503931;503616;503062;503091;511095;507843
Алгоритм Рабина-Карпа;331043;333664;332573;334326;331531;330804;334970;329543;334116;333508;328939;327472;327449;328804;327227;326652;325400;325652;325814;325906;325679;326349;326341;328622;326572;326731;326587;326370;327020;325929
