Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;4884716;4895589;4878776;4892893;4877716;4877491;4893948;4921860;4907127;4890281;4869643;4880096;4889197;4871333;4878250;4868791;4862852;4860277;4874064;4845391;4853281;4838106;4849645;4854929;4840741;4846133;4838820;4838281;4840474;4829812
КМП со стандартными гранями;5552093;5561506;5572514;5574122;5577810;5592224;5600966;5615612;5615623;5621127;5634904;5653800;5759504;5768145;5730331;5741652;5696600;5664329;5690629;5690110;5687210;5716741;5703125;5705437;5708995;5794460;5865568;5726724;5733064;5750172
КМП с уточненными гранями;3838260;3835399;3849868;3859441;3866262;3867025;3879564;3889287;3888256;3897035;3901066;3920162;3923473;3949083;3950953;3947679;3958645;3966833;3973343;3992243;3999091;4004189;4013216;4021043;4030527;4043241;4063325;4058089;4072470;4075649
Алгоритм Рабина-Карпа;3301233;3311424;3294485;3300808;3312804;3303979;3296737;3296177;3282304;3290375;3290662;3296575;3292718;3284589;3292954;3293229;3285720;3279358;3279729;3315118;3307468;3303664;3301479;3303829;3302743;3292116;3290754;3296758;3288502;3292358
