Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;4899935;4875645;4867177;4878595;4874022;4874960;4863129;4878347;4860385;4858779;4853006;4857900;4848566;4853466;4858145;4854537;4836475;4841933;4828552;4835739;4838360;4841012;4829808;4833629;4821210;4820027;4833699;4825260;4824268;4811014
КМП со стандартными гранями;353028804;354160129;354562410;1419206656;1422214450;355978485;1424346079;1424875687;1477750745;1430325327;1432169354;1431622243;1435145439;1439335154;1440404141;1442895345;1444392195;1443392506;1445352829;1451307066;1452553887;1454578789;1454271725;1455617641;1457625052;1459654808;1461580458;1520865172;1482253104;1476593554
КМП с уточненными гранями;247113452;245741168;243287164;975245816;980846312;243474950;978128474;983825695;978667008;979351474;992165460;981223852;981592225;981318000;976181927;976793254;979493872;976385441;976888989;975672789;976558329;975530587;981297170;984415735;988168337;980947204;979524841;993213839;981907862;982587664
Алгоритм Рабина-Карпа;211758187;212154904;213325572;847887804;851222348;213134749;849798220;847362589;849370102;851194456;852826043;861007252;850001879;851001595;847127341;847296068;851106820;847982537;847448599;853472239;850617141;899990893;855985464;849804314;849078066;849916426;850328697;853963622;852472058;850998266
