Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;828387;819518;828670;808670;805616;798331;791564;786560;784287;777135;771320;769920;763568;755189;752958;745831;740887;737506;728333;723460;718799;713204;706639;703243;696758;692979;689335;681737;676641;673789
КМП со стандартными гранями;748964;751510;759868;763983;769989;775077;780254;788710;796756;806221;808116;814014;824345;830248;834577;841860;847852;856349;862941;866231;871585;885768;884120;893250;906604;910373;909762;918001;928072;932993
КМП с уточненными гранями;576939;585985;596258;603773;611360;621629;631489;641310;651810;657900;668096;676714;686425;697154;705147;715064;722825;735091;741237;751260;759395;770679;778675;786720;795147;809329;814987;824516;835270;840900
Алгоритм Рабина-Карпа;222393;225247;227758;231085;233758;236666;239695;241925;244906;249247;250895;253420;256177;260804;261977;266268;268181;270137;273208;276010;278687;280989;283689;287441;289637;292524;296772;298370;302039;304277
