Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;490025;490722;491808;490962;485581;482389;480166;479554;478210;477370;478147;471108;469891;470708;464962;462754;461533;462485;457983;460643;455577;452608;450904;449795;449614;446256;442252;441881;441760;438968
КМП со стандартными гранями;573774;578383;581133;587022;594106;600883;610222;614160;624424;628083;635197;649683;650272;655585;660931;671852;671923;679368;684956;693333;699104;710856;712108;718464;730366;731154;739887;743658;754152;758222
КМП с уточненными гранями;396595;404404;413024;422104;431395;441287;450887;463616;467262;474658;487491;493689;504329;511022;519650;529237;544750;552481;558229;566712;574870;583068;591712;600237;613806;619002;630418;636451;646849;656312
Алгоритм Рабина-Карпа;331054;330577;331222;330952;330335;329997;328966;328056;336360;329818;329675;326306;325291;325093;324297;324681;322666;323652;330712;322729;322054;321220;321108;321483;320827;320329;321895;324237;325112;325439
