Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;4932729;4853652;4858414;4855724;4866260;4858325;4870525;4848749;4851418;4849139;4858114;4849216;4852016;4849156;4857799;4854214;4847195;4836139;4835227;4834610;4856427;4855300;4833200;4830893;4830570;4846129;4833981;4838852;4844379;4834316
КМП со стандартными гранями;88289112;88418947;88572795;88713268;88740699;89147512;88961302;89146658;89237033;89366672;89547479;89630495;89655924;89671743;89728498;89696521;89546233;89674304;89807141;89910683;89682618;89720489;89717589;103997020;89525975;89591814;89512120;89516062;89518133;89521798
КМП с уточненными гранями;60422443;60909537;60485720;60782808;60653245;60616587;60662925;60738795;60777527;60763176;60807164;60860566;61153133;60801433;60697950;60726502;60791004;60763948;60810601;60741164;60809643;60777997;60743727;61073993;60781479;60779216;60793116;60735697;60736675;60741306
Алгоритм Рабина-Карпа;53314435;53542131;53090935;53050000;53027629;53180298;52880975;53525512;53178475;53557649;53530206;53469772;53353777;53325364;53248733;53137650;53136291;53000335;53113368;54898204;53571666;53739927;53639843;53454925;627437741;53572912;53712756;53380270;53867874;68965285
