Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;8261249;8250891;8219706;8223531;8182079;8186487;8153981;8171395;8171268;8152335;8137887;8133168;8143383;8153956;8143316;8139456;8108045;8140839;8368864;8116603;8131687;8107006;8087358;8092637;8095270;8103118;8138210;8086814;8075131;8044499
КМП со стандартными гранями;6990866;6985206;7007237;6987516;7005302;7003702;7008283;7022433;7027285;7036933;7032164;7049366;7045993;7056033;7062306;7080031;7096616;7085877;7092703;7098233;7102385;7103210;7127400;7120058;7123043;7132018;7144137;7150562;7160187;7170999
КМП с уточненными гранями;4828183;4840720;4842224;4851952;4878668;4867789;4882804;4888854;4897422;4913827;4926877;4936962;4936620;4949687;4959035;4976593;4981541;4991122;4999724;5007085;5022306;5027437;5030935;5047277;5052833;5072066;5080547;5082023;5092849;5099251
Алгоритм Рабина-Карпа;2244164;2245618;2249989;2247939;2243033;2246520;2248304;2248918;2243922;2247027;2251737;2247831;2255906;2257133;2251618;2251095;2249825;2255310;2261635;2257368;2252531;2258287;2259308;2257714;2262883;2271631;2261293;2257058;2261916;2263539
