Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;8255468;8234445;8221208;8218070;8232573;8230231;8211122;8205877;8248670;8276041;8180472;8182077;8178208;8168068;8180175;8185385;8194154;8155502;8137954;8130420;8141787;8126106;8130806;8133112;8152487;8115350;8103673;8102306;8095510;8108516
КМП со стандартными гранями;7318604;7319343;7324783;7331181;7338768;7342866;7347568;7374318;7350537;7369104;7379664;7385885;7386418;7391170;7411389;7410027;7411439;7412010;7432406;7431331;7432083;7457766;7458408;7457054;7459912;7475668;7480006;7488375;7492637;7494214
КМП с уточненными гранями;5539187;5551043;5571725;5566248;5579833;5593197;5602175;5618320;5617531;5625727;5634122;5654412;5657243;5667335;5680995;5690581;5710818;5705225;5710964;5720041;5739697;5736270;5888731;5895291;6321868;5868979;5804295;5821266;5807843;5847695
Алгоритм Рабина-Карпа;2255395;2259941;2256312;2249564;2248139;2243806;2247374;2244368;2244414;2254075;2253787;2256345;2246673;2247795;2249251;2253777;2248114;2251622;2249593;2252820;2252768;2252710;2260956;2255049;2256004;2255495;2256049;2263124;2265714;2262266
