Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;4904047;4896418;4883054;4875904;4876366;4869243;4863704;4865460;4876564;4862604;4863485;4863373;4853843;4858158;4858166;4860597;4857877;4865204;4842583;4854910;4851012;4842120;4830539;4836525;4837964;4829006;4826768;4832497;4842583;4824829
КМП со стандартными гранями;349088374;348540362;349045252;349766123;350024839;350448741;351049914;351387864;351973687;352569877;353056052;353513952;355162735;355515041;355935972;22369646654;413036677;356534408;357062262;357629497;357993693;358428039;358548743;359284943;359504927;359870677;360799310;361278720;361528079;361754289
КМП с уточненными гранями;234535400;234469429;235105135;234874210;235064724;236035335;234972906;240207718;237289600;235620139;235560333;235847120;235592635;235956152;235666708;236253385;236082627;236830591;236147383;236683702;236219104;236455127;236246679;236551968;238566724;242255995;241092212;251343308;241768610;237250375
Алгоритм Рабина-Карпа;212642843;211691735;211278366;211261462;211636089;212079418;212452254;212079589;211600875;211745164;214759487;212402927;213986410;212591964;213080375;212583825;215204981;218830120;211834385;211966008;212227245;212412718;212849383;213673481;212613835;212555356;212557358;212413787;213260179;212148249
