Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;4893512;4880106;4891789;4906324;4892145;4880560;4905973;4902083;4882716;4882802;4884897;4887091;4876737;4873908;4881327;4873223;4883916;4866133;4868549;4843322;4860624;4843033;4862401;4840660;4833127;4837412;4830318;4826554;4835456;4826539
КМП со стандартными гранями;5460968;5446025;5468085;5459541;5464633;5474241;5478956;5485074;5491514;5499568;5494379;5517672;5519937;5530281;5527714;5536554;5543250;5549043;5558368;5567227;5579289;5575991;5589993;5604047;5599906;5606095;5616058;5621060;5631339;5634160
КМП с уточненными гранями;3667014;3683097;3693306;3706306;3710318;3716802;3725704;3732737;3742314;3749772;3758152;3768539;3774072;3788516;3824208;3808900;3816081;3819672;3837337;3837246;3849520;3862556;3871793;3875968;4014545;3895595;3911985;3904553;3923206;3935841
Алгоритм Рабина-Карпа;3302816;3312687;3309097;3298483;3298099;3301766;3305141;3288858;3280941;3281122;3307818;3292671;3261366;3282060;3303985;3301021;3295416;3288064;3286054;3281433;3283804;3283749;3297252;3304291;3282352;3275074;3282254;3283775;3299450;3284131
