Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;4857270;4856508;4875262;4879949;4891276;4888716;4875302;4876447;4857681;4855427;4852829;4835473;4834198;4853110;4831735;4838466;4866491;4849164;4837243;4847902;4840756;4848337;4857645;4846608;4852135;4840631;4850956;4839873;4840674;4847087
КМП со стандартными гранями;5515901;5513187;5520389;5527927;5532137;5560112;5546989;5558662;5564093;5565145;5593314;5580720;5583077;5586916;5583702;5584939;5604696;5583543;5594343;5581675;5586504;5594098;5582362;5582993;5595316;5585018;5584485;5600464;5585304;5593635
КМП с уточненными гранями;3780356;3782789;3809789;3819322;3825426;3842277;3859777;3850650;3854902;3873050;3881445;3896712;3892358;3889733;3891116;3896187;3890929;3895360;3888910;3894229;3891018;3891916;3892756;3895785;3889647;3888170;3887427;3898497;3893427;3892353
Алгоритм Рабина-Карпа;3290760;3312275;3303933;3305751;3302022;3302210;3307720;3300270;3291360;3299654;3295918;3305816;3271735;3271676;3303597;3309687;3293712;3288335;3292991;3306337;3306191;3292925;3283937;3287691;3283439;3286745;3282458;3298866;3297168;3301177
