Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;8276406;8271399;8276833;8346983;8256381;8377929;8230208;8244972;8225591;8224924;8227762;8206804;8207583;8215402;8217304;8265783;8175327;8199206;8175397;8157497;8428743;8161833;8138687;8183143;8155775;8151335;8171816;8442212;8209058;8701547
КМП со стандартными гранями;7080249;7091979;7079493;7110589;7098879;7100897;7079120;7089720;7083364;7112062;7098277;7112724;7117656;7140041;7130910;7136441;7144370;7171600;7160354;7163589;7170520;7195179;7182364;7192691;7199785;7210479;7207643;7216539;7233949;7225654
КМП с уточненными гранями;5155908;5167431;5186079;5193743;5214404;5205562;5216806;5230362;5232291;5263168;5259337;5256585;5277143;5280174;5295370;5310656;5314422;5318966;5329439;5348212;5349183;5358295;5368737;5376806;5387835;5413641;5402772;5413493;5424029;5446014
Алгоритм Рабина-Карпа;2194275;2204373;2204300;2204885;2205900;2206597;2213293;2218093;2214345;2221460;2223485;2226531;2232585;2243039;2246291;2234943;2243485;2244741;2244268;2247404;2252895;2253779;2254212;2259478;2261285;2272445;2271485;2273827;2281033;2279779
