Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;481402;477062;474685;474620;471206;469689;468187;466877;464037;464122;462970;460578;456860;456447;456333;451939;449872;454500;447600;444564;443496;440693;440764;437354;436608;434208;430341;430247;428654;425508
КМП со стандартными гранями;557808;562775;569983;577237;583987;591131;595460;601829;608683;615258;621839;630320;635766;640989;650739;661923;663697;669724;675679;683281;692841;697756;702325;707199;713437;722764;729470;735479;741460;747824
КМП с уточненными гранями;386879;397260;408045;414693;423097;433514;440420;450295;458772;467606;475306;486123;493573;502491;510868;521720;529002;538050;546223;558541;567320;573391;583216;591502;600568;610381;618618;627335;637391;645922
Алгоритм Рабина-Карпа;331587;329649;331404;328849;328845;328464;327352;328962;327608;326393;326139;325720;327118;324956;323464;324979;324197;322689;321724;321589;322002;320950;321591;320535;322112;320456;320860;319851;319214;318326
