Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;486972;486843;486810;499364;479291;475977;473341;479104;475235;472564;467922;467226;464110;463072;459252;456591;454520;453585;453598;449222;451900;445970;443918;443502;439252;441614;436447;435514;434254;428995
КМП со стандартными гранями;554802;562760;565679;572374;580254;585204;591352;598206;605939;612904;618754;637595;631256;638831;643327;652139;660250;667166;671501;678291;685845;695995;699437;705664;711816;719218;727822;731618;738658;744327
КМП с уточненными гранями;378327;389903;396374;408706;416335;423900;431914;441077;450616;459168;468133;477831;488020;495429;503248;514681;521835;530237;539883;548947;559079;568245;575189;586062;593304;608206;612773;624370;630227;654566
Алгоритм Рабина-Карпа;338433;329904;329281;332522;333325;330541;333431;328827;327904;326635;327500;327289;325625;327020;326783;324633;324279;323979;326243;324706;323479;324306;321952;320581;321977;320108;320006;321302;318097;318927
