Название алгоритма;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000
Наивный;4856214;4846577;4848312;4851748;4866839;4856989;4842304;4843510;4837391;4833035;4846845;4829793;4835568;4837650;4832795;4835868;4834527;4850818;4837977;4831297;4834718;4834381;4829224;4811523;4828606;4813516;4838199;4819179;4811362;4812473
КМП со стандартными гранями;5535985;5542818;5553716;5549293;5573154;5559620;5568795;5583191;5595110;5600766;5600077;5612168;5613764;5615910;5625250;5649827;5633606;5648785;5659958;5662274;5675564;5672395;5680577;5690622;5703583;5707824;5707331;5716816;5719004;5733843
КМП с уточненными гранями;3808125;3821066;3827727;3837741;3842418;3864014;3872781;3870618;3881079;3896897;3902906;3914523;3925720;3928160;3935714;3945303;3958425;3964256;3980012;3989654;3990422;4001708;4009623;4015110;4034012;4037216;4046449;4053285;4061827;4074056
Алгоритм Рабина-Карпа;3268927;3285031;3290691;3291370;3284781;3269283;3262162;3276656;3276260;3280270;3281945;3281208;3274431;3274254;3276608;3283658;3284648;3294693;3286175;3285320;3276920;3267964;3278370;3272923;3272987;3283560;3279500;3271335;3279520;3269581
